x1,x2,label
226.192001,115.615997,1.0
377.277008,145.279007,1.0
46.918999,137.867004,1.0
264.92099,148.233994,1.0
217.272995,132.778,1.0
394.046997,143.910995,1.0
139.837006,134.365005,1.0
414.674988,155.705994,1.0
326.648987,156.477997,1.0
416.92099,8.361,-1.0
130.996002,142.945007,1.0
164.160004,133.466003,1.0
379.40799,133.052002,1.0
305.200989,162.520996,1.0
256.30899,128.389008,1.0
411.72699,103.141998,1.0
252.184006,152.703995,1.0
312.727997,131.854004,1.0
196.078003,138.934006,1.0
442.425995,118.385002,1.0
350.268005,155.018005,1.0
352.18399,116.144997,1.0
393.787994,166.524002,1.0
250.822006,155.473999,1.0
429.388,100.647003,1.0
452.485992,136.175995,1.0
373.571991,124.195999,1.0
423.708008,124.388,1.0
91.621002,153.029999,1.0
365.712006,109.745003,1.0
372.112,143.436996,1.0
199.231995,134.462006,1.0
70.973999,135.507004,1.0
126.069,150.593002,1.0
398.713013,123.157997,1.0
64.926003,145.462997,1.0
156.837997,226.537994,-1.0
432.342987,117.911003,1.0
342.261993,126.771004,1.0
106.050003,132.496994,1.0
448.734985,111.316002,1.0
102.345001,156.875,1.0
167.360001,134.401001,1.0
380.934998,116.036003,1.0
193.893997,124.522003,1.0
412.273987,164.404007,1.0
255.667999,135.436005,1.0
68.122002,131.906006,1.0
176.843994,131.408005,1.0
354.692993,115.011002,1.0
69.214996,106.764,-1.0
76.752998,144.233994,1.0
348.324005,155.248001,1.0
380.595001,154.248993,1.0
159.229996,122.333,1.0
90.209999,124.417999,1.0
352.600006,153.589996,1.0
407.380005,146.182007,1.0
197.817001,117.549004,1.0
413.928986,153.953003,1.0
124.424004,123.628998,1.0
321.70401,143.529007,1.0
143.903,205.927994,-1.0
402.449005,106.092003,1.0
438.917999,102.309998,1.0
219.626999,133.475998,1.0
328.089996,119.360001,1.0
329.070007,130.705002,1.0
432.694,154.292007,1.0
178.697006,124.466003,1.0
103.982002,319.440002,-1.0
179.641998,124.019997,1.0
179.602997,125.417,1.0
363.990997,161.373993,1.0
287.040009,161.173996,1.0
333.078003,139.147003,1.0
97.551003,134.587006,1.0
309.514008,108.966003,1.0
325.157013,144.852005,1.0
421.304993,104.088997,1.0
359.006989,213.453995,-1.0
335.609009,112.523003,1.0
356.031006,117.789001,1.0
427.338013,115.986,1.0
343.231995,155.955994,1.0
88.148003,123.407997,1.0
393.912994,162.007996,1.0
110.612,143.044006,1.0
249.141006,141.035995,1.0
54.400002,124.925003,1.0
92.797997,139.098007,1.0
125.017998,142.994995,1.0
242.966003,156.867004,1.0
376.692993,142.828995,1.0
66.917999,134.218002,1.0
257.022003,148.442001,1.0
383.106995,109.260002,1.0
176.447998,134.225006,1.0
247.063995,147.651001,1.0
239.498001,135.141998,1.0
219.056,137.412994,1.0
436.415009,147.643005,1.0
247.546997,150.970993,1.0
355.471008,131.498001,1.0
256.619995,110.697998,1.0
374.609985,110.681,1.0
212.121002,147.320999,1.0
383.200012,161.914001,1.0
321.178009,125.422997,1.0
300.419006,151.264999,1.0
57.837002,132.442993,1.0
251.757004,134.636002,1.0
73.066002,152.296005,1.0
235.522003,113.749001,1.0
284.329987,139.091995,1.0
300.911011,148.371994,1.0
15.224,135.889999,1.0
238.477005,116.885002,1.0
232.563995,123.819,1.0
395.165985,126.049004,1.0
410.425995,103.535004,1.0
336.463989,109.636002,1.0
399.917999,165.557007,1.0
167.876007,124.219002,1.0
210.763,126.491997,1.0
365.335999,123.301003,1.0
449.339996,132.425995,1.0
122.705002,135.742996,1.0
232.957001,152.632004,1.0
63.279999,128.257004,1.0
389.450989,102.492996,1.0
102.203003,131.791,1.0
333.175995,142.429993,1.0
453.496002,100.693001,1.0
450.234009,105.440002,1.0
398.938995,128.128998,1.0
268.868988,119.668999,1.0
420.557007,99.407997,1.0
295.946991,112.885002,1.0
289.863007,114.959999,1.0
348.181,142.869995,1.0
444.950989,114.427002,1.0
433.737,139.095001,1.0
162.779999,134.770996,1.0
387.395996,103.244003,1.0
385.688995,126.765999,1.0
267.264008,157.190994,1.0
360.877014,135.826996,1.0
437.006989,163.729996,1.0
290.593994,126.369003,1.0
358.044006,144.973007,1.0
101.718002,151.445007,1.0
57.373001,128.121002,1.0
163.865005,133.156998,1.0
402.333008,153.662003,1.0
445.515015,128.039001,1.0
329.007996,154.065002,1.0
378.319,158.645996,1.0
81.043999,107.056,-1.0
289.269012,146.348999,1.0
452.612,137.177994,1.0
141.673996,126.872002,1.0
318.44101,112.710999,1.0
185.669998,143.050003,1.0
362.221008,139.843002,1.0
346.177002,142.695007,1.0
274.157013,112.560997,1.0
371.752014,115.237,1.0
71.174004,145.858994,1.0
409.149994,159.222,1.0
293.230988,160.733994,1.0
227.223007,157.880997,1.0
639.155029,349.166992,-1.0
23.222,142.940002,1.0
349.269989,104.101997,1.0
71.675003,126.720001,1.0
228.453995,117.551003,1.0
368.109009,148.878006,1.0
117.786003,150.826996,1.0
367.725006,126.556,1.0
37.681999,11.543,-1.0
263.473999,111.517998,1.0
294.226013,111.064003,1.0
364.231995,134.722,1.0
79.175003,144.819,1.0
222.388,134.100998,1.0
451.759003,127.084,1.0
261.928986,126.110001,1.0
447.692993,120.370003,1.0
409.473999,109.903999,1.0
669.284973,115.718002,-1.0
449.210999,168.636993,1.0
424.929993,115.279999,1.0
